[2026-04-29T06:06:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:07:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:08:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:09:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:10:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:11:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:12:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:13:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:14:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:15:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:16:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:17:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:18:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:19:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:20:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:21:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:22:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:23:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:24:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:25:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:26:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:27:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:28:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:29:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:30:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:31:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:32:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:33:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:34:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:35:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:36:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:37:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:38:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:39:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.66 | stddev=17.12 | samples=147
[2026-04-29T06:40:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.66 | stddev=17.12 | samples=147
